SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
98,1,60,1,2,6,7,4,1,2024,2,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,51,1, , , , ,1,2023,12,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,52,10, , , , ,1,2023,8,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,50,1,2,5,3,2,1,2024,1,5, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,39,8,1,1,3,3,1,2024,3,5, , , , ,700,100,0,300,100,0,0,0,0,0,0,100,100,0
98,1,56,3,2,6,7,6,1,2024,4,4,1,1600,1,5,100,0,0,0,0,0,100,0,0,0,0,0,0,0
98,1,56,12,2,6,13,13,1,2024,6,1, ,2500,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,62,13,2,6,10,8,1,2023,8,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,45,8,97,5,6,6,1,2024,1,1, ,3000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,54,6,97,1,5,5,1,2024,3,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,44,15,2,5,6,4,1,2024,1,3, ,2200,2,5,400,0,0,100,0,0,0,0,0,0,0,0,0,300
1,1,56,1,1,1,11,11,1,2023,10,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,61,1,2,6,10,6,1,2024,4,1, ,3500,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,43,8,2,5,5,4,1,2024,2,3, ,2200,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,55,8,2,6,10,7,1,2024,5,4,1,1600,1,5,100,100,0,0,0,0,0,0,0,0,0,0,0,0
2,1,46,3,2,5,5,5,1,2023,10,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,50,8,2,3,5,5,1,2023,8,3, ,3000,3,6,100,0,100,0,0,0,0,0,0,0,0,0,0,0
98,1,49,8,2,5,5,5,1,2023,12,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,53,16,2,5,6,4,1,2024,2,5, , , ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,38,8,2,4,6,3,1,2023,11,3, ,3000,2, ,100,0,0,0,0,0,0,0,0,0,0,100,0,0
2,1,38,11,2,4,5,5,1,2024,6,1, ,2000, , ,400,100,0,0,0,0,0,300,0,0,0,0,0,0
5,1,48,12,2,5,9,5,1,2023,11,4,1,1600,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,38,16,2,5,10,5,1,2023,7,5, , , , ,300,0,100,0,0,100,100,0,0,0,0,0,0,0
5,1,57,10,2,7,12,5,1,2023,11,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,62,10,2,6,6,2,1,2024,6,4,1,1600,1,5,200,0,0,0,100,0,100,0,0,0,0,0,0,0
98,1,54,15,2,6,4,3,1,2024,6,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,51,7,2,5,6,98,1,2024,2,1, ,1000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,74,11,2,6,4,4,1,2024,3,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,55,1,2,6,6,3,1,2024,1,1, ,2500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,49,1,2,3,7,4,1,2023,8,1, ,2000,1, ,500,100,0,0,0,200,100,100,0,0,0,0,0,0
5,2,37,8,2,4,11,3,1,2024,3,4,1,1600,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,50,10,2,6,10,1,1,2024,2,1, ,3000,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,63,2,2,7,5,5,1,2023,8,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,42,5,2,5,5,5,1,2023,7,5, , , , ,500,0,0,100,0,200,100,0,0,100,0,0,0,0
98,1,39,8,2,4,8,3,1,2023,7,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
