SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
1,1,40,8,2,5,5,5,1,2022,4,1,1600,1,5,15.7, ,19, ,15.3, ,10,1, ,1
2,2,56,6,2,6,7,2,1,2020,1, ,3000,1, , , , , , , , , , , 
5,1,52,1,2,5,6,6,1,2017,1, ,1500, , , , , , , , , , , , 
5,1,58,4,97,6,4,4,1,2018,3, ,1600, , , , , , , , , , , , 
2,1,55,9,2,6,9,5,1,2024,1, ,2000,1, ,11.9, ,10.1, ,17.9, ,7,4,1,1
5,1,53,1,2,5,10,10,1,2021,2, ,3000,1, ,7.3, ,6, ,9, ,6,1, , 
2,2,24,1,1,1,7,7,1,2023,1, ,2500,3, , ,98,20.5, ,26.4, ,8,3, , 
98,1,40,6,1,1,3,3,1,2023,5, , , , , , , , , , , ,1,5, 
1,1,68,2,2,7,3,2,1,2016,3, ,2000,1, , , , , , , , , , , 
2,1,40,8,97,5,10,6,1,2018,5, , , , , , , , , , , , , , 
2,1,44,6,2,3,11,10,1,2021,6, , ,1, , , , , , , , ,1, , 
4,1,66,1,2,6,5,4,1,2015,1, ,3800,3, , , , , , , , , , , 
98,1,74,8,2,7,3,3,1,2024,1, ,1000,1, , , , , , , , ,1, ,2
3,1,49,8,2,5,9,9,1,2023,1, ,3800,3, ,9, ,7.5, ,12, ,5,1,5, 
5,1,69,5,2,7,10,7,1,2013,2, ,3000,1, , , , , , , , , , , 
2,1,48,8,2,5,6,4,1,2022,3, ,2200,1,7,10.5, ,9.3, ,14.6, ,9,1,3,1
3,1,53,1,2,6,4,4,1,2020,1, ,1600, , , , , , , , , , , , 
1,1,42,8,2,5,4,4,1,2016,1, ,1600,1, , , , , , , , , , , 
2,1,35,1,2,3,2,2,1,2014,3, ,2000,1,7, , , , , , , , , , 
1,1,61,11,2,6,4,4,1,2022,1, ,1600,1, , , , , , , , ,1, , 
